사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2025-02,1호선,0150,서울역,"1,703,216","1,561,398","227,099","209,611",2025-03-03 16:39:12
2025-02,1호선,0151,시청,"601,471","603,581","125,047","122,390",2025-03-03 16:39:12
2025-02,1호선,0152,종각,"919,772","901,106","150,293","139,291",2025-03-03 16:39:12
2025-02,1호선,0153,종로3가,"443,812","402,718","272,104","247,589",2025-03-03 16:39:12
2025-02,1호선,0154,종로5가,"425,522","414,838","219,746","214,623",2025-03-03 16:39:12
2025-02,1호선,0155,동대문,"213,441","204,911","112,367","110,819",2025-03-03 16:39:12
2025-02,1호선,0156,신설동,"266,059","256,985","111,515","108,714",2025-03-03 16:39:12
2025-02,1호선,0157,제기동,"217,314","209,127","237,622","256,212",2025-03-03 16:39:12
2025-02,1호선,0158,청량리(서울시립대입구),"368,108","358,024","255,574","250,552",2025-03-03 16:39:12
2025-02,1호선,0159,동묘앞,"140,486","147,658","138,396","139,541",2025-03-03 16:39:12
2025-02,2호선,0201,시청,"648,860","608,186","66,644","57,920",2025-03-03 16:39:12
2025-02,2호선,0202,을지로입구,"1,221,506","1,262,965","102,106","94,062",2025-03-03 16:39:12
2025-02,2호선,0203,을지로3가,"607,150","602,714","70,006","68,741",2025-03-03 16:39:12
2025-02,2호선,0204,을지로4가,"309,507","307,426","68,622","67,593",2025-03-03 16:39:12
2025-02,2호선,0205,동대문역사문화공원(DDP),"339,043","388,722","54,789","59,390",2025-03-03 16:39:12
2025-02,2호선,0206,신당,"323,113","341,572","84,932","86,503",2025-03-03 16:39:12
2025-02,2호선,0207,상왕십리,"323,366","317,236","63,433","64,783",2025-03-03 16:39:12
2025-02,2호선,0208,왕십리(성동구청),"369,413","350,416","50,009","45,984",2025-03-03 16:39:12
2025-02,2호선,0209,한양대,"198,876","215,582","12,940","13,973",2025-03-03 16:39:12
2025-02,2호선,0210,뚝섬,"610,699","640,368","60,913","61,345",2025-03-03 16:39:12
2025-02,2호선,0211,성수,"1,210,177","1,304,449","94,065","94,967",2025-03-03 16:39:12
2025-02,2호선,0212,건대입구,"912,984","959,224","87,636","90,669",2025-03-03 16:39:12
2025-02,2호선,0213,구의(광진구청),"570,562","556,927","102,401","103,278",2025-03-03 16:39:12
2025-02,2호선,0214,강변(동서울터미널),"673,708","617,895","102,938","98,005",2025-03-03 16:39:12
2025-02,2호선,0215,잠실나루,"309,648","296,959","82,928","82,428",2025-03-03 16:39:12
2025-02,2호선,0216,잠실(송파구청),"2,015,482","1,977,725","198,485","191,296",2025-03-03 16:39:12
2025-02,2호선,0217,잠실새내,"536,105","525,738","107,178","106,898",2025-03-03 16:39:12
2025-02,2호선,0218,종합운동장,"168,882","183,872","43,180","44,813",2025-03-03 16:39:12
2025-02,2호선,0219,삼성(무역센터),"1,347,868","1,365,858","114,698","105,710",2025-03-03 16:39:12
2025-02,2호선,0220,선릉,"1,291,747","1,134,077","230,949","202,922",2025-03-03 16:39:12
2025-02,2호선,0221,역삼,"1,211,825","1,373,475","135,219","137,563",2025-03-03 16:39:12
2025-02,2호선,0222,강남,"2,110,548","2,084,397","154,053","135,566",2025-03-03 16:39:12
2025-02,2호선,0223,교대(법원.검찰청),"675,969","806,474","142,001","168,079",2025-03-03 16:39:12
2025-02,2호선,0224,서초,"514,621","501,153","83,642","83,705",2025-03-03 16:39:12
2025-02,2호선,0225,방배,"347,443","360,550","72,200","70,918",2025-03-03 16:39:12
2025-02,2호선,0226,사당,"956,100","1,055,767","205,179","193,096",2025-03-03 16:39:12
2025-02,2호선,0227,낙성대(강감찬),"638,863","614,139","104,251","105,549",2025-03-03 16:39:12
2025-02,2호선,0228,서울대입구(관악구청),"1,086,161","1,062,411","170,384","161,348",2025-03-03 16:39:12
2025-02,2호선,0229,봉천,"521,025","484,817","142,394","143,861",2025-03-03 16:39:12
2025-02,2호선,0230,신림,"1,320,945","1,291,542","185,498","185,778",2025-03-03 16:39:12
2025-02,2호선,0231,신대방,"557,499","529,947","120,331","121,062",2025-03-03 16:39:12
